Local;codigo_ibge;uf;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Alta Floresta D'Oeste;110001;RO;25652.0;25578.0;25506.0;25437.0;23167.0;22945.0;22728.0;22516.0;22516.0;22516.0;22853.0;22787
Ariquemes;110002;RO;102860.0;104401.0;105896.0;107345.0;106168.0;107863.0;109523.0;111148.0;111148.0;111148.0;108573.0;109170
Cabixi;110003;RO;6424.0;6355.0;6289.0;6224.0;5438.0;5312.0;5188.0;5067.0;5067.0;5067.0;5690.0;5664
Cacoal;110004;RO;86556.0;87226.0;87877.0;88507.0;84813.0;85359.0;85893.0;86416.0;86416.0;86416.0;97637.0;98280
Cerejeiras;110005;RO;18013.0;17986.0;17959.0;17934.0;16444.0;16323.0;16204.0;16088.0;16088.0;16088.0;16975.0;16966
Colorado do Oeste;110006;RO;19001.0;18817.0;18639.0;18467.0;16227.0;15882.0;15544.0;15213.0;15213.0;15213.0;16588.0;16508
Corumbiara;110007;RO;8938.0;8842.0;8749.0;8659.0;7567.0;7391.0;7220.0;7052.0;7052.0;7052.0;8001.0;7968
Costa Marques;110008;RO;16258.0;16651.0;17031.0;17400.0;17855.0;18331.0;18798.0;19255.0;19255.0;19255.0;13522.0;13510
Espigão D'Oeste;110009;RO;32047.0;32385.0;32712.0;33030.0;32047.0;32374.0;32695.0;33009.0;33009.0;33009.0;32717.0;32842
Guajará-Mirim;110010;RO;46203.0;46632.0;47048.0;47451.0;45783.0;46174.0;46556.0;46930.0;46930.0;46930.0;43553.0;43594
Jaru;110011;RO;55669.0;55738.0;55806.0;55871.0;51933.0;51775.0;51620.0;51469.0;51469.0;51469.0;55583.0;55682
Ji-Paraná;110012;RO;129242.0;130419.0;131560.0;132667.0;127907.0;128969.0;130009.0;131026.0;131026.0;131026.0;139359.0;140101
Machadinho D'Oeste;110013;RO;36412.0;37167.0;37899.0;38609.0;39097.0;39991.0;40867.0;41724.0;41724.0;41724.0;34063.0;34149
Nova Brasilândia D'Oeste;110014;RO;21511.0;21592.0;21670.0;21747.0;20459.0;20474.0;20489.0;20504.0;20504.0;20504.0;16504.0;16374
Ouro Preto do Oeste;110015;RO;40010.0;39924.0;39840.0;39759.0;36340.0;36035.0;35737.0;35445.0;35445.0;35445.0;38681.0;38684
Pimenta Bueno;110018;RO;37230.0;37512.0;37786.0;38051.0;36434.0;36660.0;36881.0;37098.0;37098.0;37098.0;39053.0;39220
Porto Velho;110020;RO;494013.0;502748.0;511219.0;519436.0;519531.0;529544.0;539354.0;548952.0;548952.0;548952.0;514873.0;517709
Presidente Médici;110025;RO;22783.0;22557.0;22337.0;22124.0;19409.0;18986.0;18571.0;18165.0;18165.0;18165.0;20518.0;20443
Rio Crespo;110026;RO;3709.0;3750.0;3790.0;3829.0;3723.0;3764.0;3804.0;3843.0;3843.0;3843.0;3753.0;3767
Rolim de Moura;110028;RO;55807.0;56242.0;56664.0;57074.0;54702.0;55058.0;55407.0;55748.0;55748.0;55748.0;62559.0;62959
Santa Luzia D'Oeste;110029;RO;8706.0;8532.0;8362.0;8198.0;6781.0;6495.0;6216.0;5942.0;5942.0;5942.0;7877.0;7837
Vilhena;110030;RO;89797.0;91801.0;93745.0;95630.0;97448.0;99854.0;102211.0;104517.0;104517.0;104517.0;108528.0;109651
São Miguel do Guaporé;110032;RO;23803.0;23933.0;24059.0;24181.0;22931.0;23005.0;23077.0;23147.0;23147.0;23147.0;22267.0;22305
Nova Mamoré;110033;RO;26925.0;27600.0;28255.0;28891.0;29757.0;30583.0;31392.0;32184.0;32184.0;32184.0;28496.0;28701
Alvorada D'Oeste;110034;RO;17228.0;17063.0;16902.0;16747.0;14722.0;14411.0;14106.0;13807.0;13807.0;13807.0;13837.0;13720
Alto Alegre dos Parecis;110037;RO;13884.0;13940.0;13993.0;14045.0;13227.0;13241.0;13255.0;13268.0;13268.0;13268.0;12263.0;12237
Alto Paraíso;110040;RO;19841.0;20210.0;20569.0;20916.0;20999.0;21428.0;21847.0;22258.0;22258.0;22258.0;17463.0;17467
Buritis;110045;RO;37207.0;37838.0;38450.0;39044.0;38937.0;39654.0;40356.0;41043.0;41043.0;41043.0;30729.0;30649
Novo Horizonte do Oeste;110050;RO;10393.0;10276.0;10161.0;10051.0;8751.0;8538.0;8329.0;8125.0;8125.0;8125.0;8056.0;7972
Cacaulândia;110060;RO;6318.0;6367.0;6414.0;6460.0;6190.0;6230.0;6269.0;6307.0;6307.0;6307.0;4345.0;4292
Campo Novo de Rondônia;110070;RO;14081.0;14220.0;14354.0;14484.0;14009.0;14139.0;14266.0;14391.0;14391.0;14391.0;9225.0;9095
Candeias do Jamari;110080;RO;23573.0;24155.0;24719.0;25266.0;25983.0;26693.0;27388.0;28068.0;28068.0;28068.0;24163.0;24313
Castanheiras;110090;RO;3653.0;3617.0;3583.0;3550.0;3119.0;3052.0;2987.0;2923.0;2923.0;2923.0;3456.0;3450
Chupinguaia;110092;RO;9887.0;10129.0;10364.0;10593.0;10886.0;11182.0;11472.0;11755.0;11755.0;11755.0;10129.0;10191
Cujubim;110094;RO;20204.0;20974.0;21720.0;22443.0;24226.0;25215.0;26183.0;27131.0;27131.0;27131.0;15883.0;15877
Governador Jorge Teixeira;110100;RO;10327.0;10127.0;9933.0;9745.0;8095.0;7767.0;7445.0;7130.0;7130.0;7130.0;8420.0;8340
Itapuã do Oeste;110110;RO;9831.0;9995.0;10155.0;10310.0;10272.0;10458.0;10641.0;10819.0;10819.0;10819.0;9209.0;9228
Ministro Andreazza;110120;RO;10860.0;10823.0;10786.0;10751.0;9762.0;9660.0;9559.0;9461.0;9461.0;9461.0;6657.0;6519
Mirante da Serra;110130;RO;12414.0;12360.0;12308.0;12258.0;11080.0;10947.0;10818.0;10691.0;10691.0;10691.0;9740.0;9657
Monte Negro;110140;RO;15710.0;15873.0;16032.0;16186.0;15695.0;15852.0;16007.0;16158.0;16158.0;16158.0;12241.0;12168
Nova União;110143;RO;7853.0;7824.0;7796.0;7769.0;7047.0;6970.0;6895.0;6822.0;6822.0;6822.0;6577.0;6541
Parecis;110145;RO;5589.0;5697.0;5802.0;5904.0;5947.0;6074.0;6198.0;6319.0;6319.0;6319.0;4390.0;4372
Pimenteiras do Oeste;110146;RO;2432.0;2424.0;2417.0;2410.0;2191.0;2169.0;2148.0;2127.0;2127.0;2127.0;2311.0;2309
Primavera de Rondônia;110147;RO;3548.0;3501.0;3456.0;3411.0;2939.0;2856.0;2776.0;2697.0;2697.0;2697.0;3279.0;3268
São Felipe D'Oeste;110148;RO;6160.0;6103.0;6048.0;5994.0;5280.0;5172.0;5066.0;4962.0;4962.0;4962.0;5605.0;5588
São Francisco do Guaporé;110149;RO;18640.0;19002.0;19353.0;19694.0;19842.0;20266.0;20681.0;21088.0;21088.0;21088.0;17511.0;17557
Seringueiras;110150;RO;12543.0;12581.0;12617.0;12653.0;11860.0;11856.0;11851.0;11846.0;11846.0;11846.0;12954.0;12965
Teixeirópolis;110155;RO;5041.0;5003.0;4966.0;4931.0;4384.0;4308.0;4233.0;4160.0;4160.0;4160.0;4536.0;4521
Theobroma;110160;RO;11345.0;11347.0;11348.0;11350.0;10494.0;10444.0;10395.0;10348.0;10348.0;10348.0;8540.0;8459
Urupá;110170;RO;13391.0;13293.0;13198.0;13106.0;11665.0;11467.0;11272.0;11081.0;11081.0;11081.0;11377.0;11314
Vale do Anari;110175;RO;10682.0;10843.0;10999.0;11149.0;11028.0;11204.0;11377.0;11545.0;11545.0;11545.0;8265.0;8220
Vale do Paraíso;110180;RO;8327.0;8231.0;8138.0;8047.0;6998.0;6825.0;6656.0;6490.0;6490.0;6490.0;6843.0;6790
Acrelândia;120001;AC;13613.0;13869.0;14120.0;14366.0;15020.0;15256.0;15490.0;15721.0;15721.0;15721.0;14657.0;14712
Assis Brasil;120005;AC;6610.0;6738.0;6863.0;6986.0;7300.0;7417.0;7534.0;7649.0;7649.0;7649.0;8573.0;8648
Brasiléia;120010;AC;23378.0;23849.0;24311.0;24765.0;25848.0;26278.0;26702.0;27123.0;27123.0;27123.0;27841.0;28028
Bujari;120013;AC;9173.0;9339.0;9503.0;9664.0;10111.0;10266.0;10420.0;10572.0;10572.0;10572.0;13766.0;13928
Capixaba;120017;AC;10170.0;10498.0;10820.0;11136.0;11456.0;11733.0;12008.0;12280.0;12280.0;12280.0;10922.0;10981
Cruzeiro do Sul;120020;AC;80953.0;81519.0;82075.0;82622.0;87673.0;88376.0;89072.0;89760.0;89760.0;89760.0;98382.0;98916
Epitaciolândia;120025;AC;16417.0;16731.0;17038.0;17340.0;18122.0;18411.0;18696.0;18979.0;18979.0;18979.0;19739.0;19874
Feijó;120030;AC;32398.0;32385.0;32372.0;32360.0;34675.0;34780.0;34884.0;34986.0;34986.0;34986.0;37644.0;37764
Jordão;120032;AC;7330.0;7509.0;7685.0;7858.0;8159.0;8317.0;8473.0;8628.0;8628.0;8628.0;9787.0;9884
Mâncio Lima;120033;AC;16795.0;17173.0;17545.0;17910.0;18638.0;18977.0;19311.0;19643.0;19643.0;19643.0;20329.0;20479
Manoel Urbano;120034;AC;8514.0;8641.0;8765.0;8886.0;9336.0;9459.0;9581.0;9701.0;9701.0;9701.0;12776.0;12923
Marechal Thaumaturgo;120035;AC;16380.0;16895.0;17401.0;17897.0;18430.0;18867.0;19299.0;19727.0;19727.0;19727.0;17951.0;18057
Plácido de Castro;120038;AC;17979.0;18159.0;18336.0;18510.0;19565.0;19761.0;19955.0;20147.0;20147.0;20147.0;17127.0;17107
Porto Walter;120039;AC;10453.0;10759.0;11059.0;11353.0;11720.0;11982.0;12241.0;12497.0;12497.0;12497.0;11275.0;11333
